author_id,发布作品数,总获赞,总播放,作品平均时长,去过城市数,首发日期,末次发布,创作天数,创作活跃度(日均发布)
0,1,0,1403178,10.0,1,2019-10-23,2019-10-23,1,1.0
1,3,0,39668368,8.875,1,2019-10-18,2019-10-26,9,0.3333333333333333
3,1,3,890330095,9.0,1,2019-10-27,2019-10-27,1,1.0
5,5,33,3034314306,7.040796963946869,1,2019-09-30,2019-10-27,28,0.17857142857142858
8,1,0,14877057,19.0,1,2019-10-13,2019-10-13,1,1.0
9,24,10,3182715686,9.722222222222221,3,2019-09-25,2019-10-30,36,0.6666666666666666
10,4,1,497763037,9.01863354037267,1,2019-10-01,2019-10-27,27,0.14814814814814814
11,7,4,360299055,8.315315315315315,1,2019-10-05,2019-10-29,25,0.28
12,14,2,827601658,8.514285714285714,1,2019-10-22,2019-10-28,7,2.0
14,21,2,232463368,13.987341772151899,1,2019-09-28,2019-10-30,33,0.6363636363636364
17,2,6,1423134215,7.046357615894039,1,2019-10-09,2019-10-26,18,0.1111111111111111
18,38,2,531393007,11.947058823529412,1,2019-09-27,2019-10-30,34,1.1176470588235294
20,21,1,758424050,15.933852140077821,1,2019-09-29,2019-10-29,31,0.6774193548387096
22,3,0,28246593,10.0,1,2019-10-01,2019-10-21,21,0.14285714285714285
24,1,0,230528198,16.0,1,2019-10-23,2019-10-23,1,1.0
25,5,0,91622682,9.457142857142857,1,2019-10-07,2019-10-30,24,0.20833333333333334
30,2,2,215624253,9.792207792207792,1,2019-10-21,2019-10-28,8,0.25
32,4,0,12634013,15.166666666666666,1,2019-10-07,2019-10-30,24,0.16666666666666666
33,2,0,29584120,10.0,1,2019-10-27,2019-10-30,4,0.5
35,1,0,89077241,10.0,1,2019-10-27,2019-10-27,1,1.0
36,2,0,7152877,10.0,1,2019-10-25,2019-10-27,3,0.6666666666666666
37,2,0,33659336,14.454545454545455,1,2019-10-27,2019-10-27,1,2.0
39,3,0,90759704,8.0,1,2019-10-06,2019-10-29,24,0.125
41,4,0,30192747,9.916666666666666,1,2019-10-24,2019-10-27,4,1.0
42,31,5,2749207564,30.967707212055974,1,2019-09-30,2019-10-30,31,1.0
43,39,0,437237672,10.766423357664234,1,2019-09-27,2019-10-29,33,1.1818181818181819
44,2,1,2146428020,8.116504854368932,1,2019-10-06,2019-10-27,22,0.09090909090909091
45,22,2,825167690,9.035460992907801,1,2019-09-23,2019-10-29,37,0.5945945945945946
48,9,0,31319594,9.461538461538462,1,2019-09-22,2019-10-11,20,0.45
50,1,0,3345348,41.0,1,2019-10-28,2019-10-28,1,1.0
53,1,0,3844143,6.0,1,2019-10-07,2019-10-07,1,1.0
54,3,0,8643504,14.0,1,2019-10-21,2019-10-27,7,0.42857142857142855
55,1,0,5701924,9.0,1,2019-10-19,2019-10-19,1,1.0
56,1,0,40680327,10.0,1,2019-10-27,2019-10-27,1,1.0
57,12,8,3225405136,10.2773261065944,1,2019-10-20,2019-10-29,10,1.2
58,3,0,332758152,10.84873949579832,1,2019-10-24,2019-10-28,5,0.6
60,23,1,1047241693,10.851002865329512,1,2019-09-24,2019-10-30,37,0.6216216216216216
61,2,3,485204560,15.965714285714286,1,2019-10-16,2019-10-28,13,0.15384615384615385
62,3,0,40667996,9.785714285714286,1,2019-10-14,2019-10-28,15,0.2
63,2,0,184481282,9.311475409836065,1,2019-10-24,2019-10-28,5,0.4
64,14,0,129960108,9.840909090909092,1,2019-09-27,2019-10-25,29,0.4827586206896552
65,1,0,795580,10.0,1,2019-10-27,2019-10-27,1,1.0
66,8,0,30658394,15.833333333333334,1,2019-10-01,2019-10-25,25,0.32
71,1,0,48136374,5.0,1,2019-10-26,2019-10-26,1,1.0
73,1,0,2963506,21.0,1,2019-10-25,2019-10-25,1,1.0
75,7,0,254153903,9.043010752688172,2,2019-10-05,2019-10-26,22,0.3181818181818182
76,20,0,170331770,11.64406779661017,1,2019-09-30,2019-10-29,30,0.6666666666666666
77,3,0,15792891,9.571428571428571,1,2019-10-22,2019-10-27,6,0.5
78,1,0,4645391,9.0,1,2019-10-08,2019-10-08,1,1.0
79,1,0,5356520,10.0,1,2019-09-30,2019-09-30,1,1.0
81,3,0,26279589,21.5,1,2019-10-25,2019-10-27,3,1.0
88,5,0,61622405,9.4,1,2019-10-20,2019-10-30,11,0.45454545454545453
92,2,0,1196714,10.0,1,2019-10-07,2019-10-11,5,0.4
93,40,0,461149862,11.251428571428571,1,2019-09-28,2019-10-29,32,1.25
94,9,0,243567779,10.044943820224718,1,2019-10-08,2019-10-25,18,0.5
95,27,1,722859339,12.172413793103448,1,2019-10-03,2019-10-30,28,0.9642857142857143
99,23,0,423036921,8.984848484848484,1,2019-09-22,2019-10-27,36,0.6388888888888888
100,8,2,318588539,9.955752212389381,1,2019-10-14,2019-10-29,16,0.5
102,5,0,101959745,9.393939393939394,1,2019-10-06,2019-10-29,24,0.20833333333333334
103,11,7,315538268,7.559633027522936,1,2019-09-24,2019-10-30,37,0.2972972972972973
105,2,0,64313243,10.0,1,2019-10-27,2019-10-28,2,1.0
106,13,0,173343191,7.283333333333333,1,2019-09-26,2019-10-30,35,0.37142857142857144
107,7,0,25152388,9.666666666666666,1,2019-09-28,2019-10-26,29,0.2413793103448276
109,44,6,2637178462,10.275711159737417,1,2019-09-26,2019-10-29,34,1.2941176470588236
111,7,0,518423690,9.027932960893855,1,2019-09-25,2019-10-30,36,0.19444444444444445
113,1,0,6422246,29.0,1,2019-10-28,2019-10-28,1,1.0
115,3,0,24391572,11.0,1,2019-10-21,2019-10-27,7,0.42857142857142855
117,7,2,177320168,9.75,1,2019-10-01,2019-10-22,22,0.3181818181818182
120,2,0,5789515,8.0,1,2019-09-23,2019-10-29,37,0.05405405405405406
121,11,2,170414846,9.271186440677965,1,2019-10-17,2019-10-30,14,0.7857142857142857
123,2,0,4642238,11.5,1,2019-10-27,2019-10-29,3,0.6666666666666666
124,11,0,53705584,15.052631578947368,1,2019-10-19,2019-10-29,11,1.0
125,1,0,733414,8.0,1,2019-09-22,2019-09-22,1,1.0
126,40,0,520811344,9.703910614525139,1,2019-09-26,2019-10-28,33,1.2121212121212122
128,2,0,4981629,6.5,1,2019-10-24,2019-10-29,6,0.3333333333333333
130,5,0,526584622,8.92485549132948,1,2019-10-27,2019-10-29,3,1.6666666666666667
132,14,0,151210832,8.133333333333333,2,2019-09-25,2019-10-29,35,0.4
133,17,0,118765967,9.307692307692308,1,2019-09-26,2019-10-28,33,0.5151515151515151
140,16,0,511941807,12.671875,1,2019-10-01,2019-10-29,29,0.5517241379310345
142,2,0,36184734,17.25,1,2019-10-27,2019-10-28,2,1.0
143,3,0,9814147,11.8,1,2019-10-26,2019-10-28,3,1.0
144,1,3,742255850,10.0,1,2019-10-25,2019-10-25,1,1.0
151,2,0,8070976,16.0,1,2019-10-21,2019-10-24,4,0.5
152,2,0,13328027,8.428571428571429,2,2019-10-23,2019-10-24,2,1.0
