uid,总浏览量,总点赞数,观看作品数,观看城市数,完播作品数,常看背景音乐,完播率,平均点赞率
0,70509294,0,34,1,18,68.0,0.5294117647058824,0.0
1,98874001,1,28,1,14,22.0,0.5,1.011388221257477e-08
2,152445286,0,56,3,19,68.0,0.3392857142857143,0.0
3,356567049,1,117,1,60,22.0,0.5128205128205128,2.8045216258892165e-09
4,310278535,0,123,1,77,220.0,0.6260162601626016,0.0
5,67837333,0,23,1,19,175.0,0.8260869565217391,0.0
6,194702668,0,63,3,31,8142.0,0.49206349206349204,0.0
7,189500939,0,63,3,6,57.0,0.09523809523809523,0.0
8,334227425,0,113,1,48,220.0,0.4247787610619469,0.0
9,20927936,0,8,1,5,7.0,0.625,0.0
10,787051839,1,263,1,75,1268.0,0.28517110266159695,1.270564339536471e-09
11,72816117,0,22,1,11,762.0,0.5,0.0
12,313787808,0,112,1,67,68.0,0.5982142857142857,0.0
13,99708469,0,39,1,19,238.0,0.48717948717948717,0.0
14,287858334,0,107,1,43,22.0,0.40186915887850466,0.0
15,277187491,0,100,3,44,22.0,0.44,0.0
16,124555078,0,41,1,17,1144.0,0.4146341463414634,0.0
17,21606864,0,9,1,3,22.0,0.3333333333333333,0.0
18,497941560,1,165,1,31,22.0,0.18787878787878787,2.0082677975302966e-09
19,44093468,0,18,1,4,468.0,0.2222222222222222,0.0
20,78190892,0,27,1,20,22.0,0.7407407407407407,0.0
21,83090555,0,29,1,14,22.0,0.4827586206896552,0.0
22,516690452,0,192,1,111,22.0,0.578125,0.0
23,171269372,0,62,2,16,220.0,0.25806451612903225,0.0
24,87216283,0,29,3,6,22.0,0.20689655172413793,0.0
25,102018872,0,33,1,11,43.0,0.3333333333333333,0.0
26,39432105,0,11,1,6,25.0,0.5454545454545454,0.0
27,112548225,0,44,1,22,22.0,0.5,0.0
28,528225383,0,190,2,54,220.0,0.28421052631578947,0.0
29,150343413,0,47,2,12,220.0,0.2553191489361702,0.0
30,142675391,0,51,1,14,468.0,0.27450980392156865,0.0
31,39256461,0,11,1,2,220.0,0.18181818181818182,0.0
32,195138775,0,73,2,44,43.0,0.6027397260273972,0.0
33,146742956,0,45,1,26,220.0,0.5777777777777777,0.0
34,207001851,0,65,1,9,468.0,0.13846153846153847,0.0
35,64436753,0,18,1,11,307.0,0.6111111111111112,0.0
36,46259201,0,19,1,7,1680.0,0.3684210526315789,0.0
37,351030660,9,110,1,41,22.0,0.37272727272727274,2.5638786082104624e-08
38,757580296,0,268,2,67,22.0,0.25,0.0
39,153893174,0,53,1,10,220.0,0.18867924528301888,0.0
40,288178424,2,98,1,29,220.0,0.29591836734693877,6.940144831939257e-09
41,132926453,0,49,1,9,22.0,0.1836734693877551,0.0
42,278202437,0,96,1,32,740.0,0.3333333333333333,0.0
43,546933979,50,199,3,48,220.0,0.24120603015075376,9.141871216598887e-08
44,156336412,0,65,1,28,108.0,0.4307692307692308,0.0
45,77304540,0,28,1,14,22.0,0.5,0.0
46,318788132,0,118,1,49,110.0,0.4152542372881356,0.0
47,358189390,0,118,1,44,220.0,0.3728813559322034,0.0
