item_id,播放量,点赞量,发布城市,背景音乐ID,发布日期,观看人数,点赞播放比
0,306407,0,24.0,220.0,2019-10-27,24,0.0
1,1117,0,63.0,574.0,2019-10-27,1309,0.0
3,658875,0,7.0,26289.0,2019-10-27,2,0.0
4,6757,0,146.0,162.0,2019-10-27,613,0.0
7,320746,0,33.0,540.0,2019-10-09,2,0.0
10,858245,0,32.0,4585.0,2019-10-26,5,0.0
14,378842,0,105.0,1701.0,2019-10-12,13,0.0
16,190662,0,244.0,20950.0,2019-09-30,5,0.0
20,758177,0,79.0,2912.0,2019-10-11,5,0.0
23,119895,0,144.0,468.0,2019-10-26,25,0.0
32,529834,0,22.0,1111.0,2019-10-26,38,0.0
33,2364154,0,84.0,408.0,2019-10-23,1,0.0
36,5868117,0,42.0,976.0,2019-10-20,1,0.0
40,477912,0,6.0,501.0,2019-10-25,54,0.0
51,125974,0,140.0,27797.0,2019-10-27,50,0.0
54,226671,0,42.0,406.0,2019-09-30,13,0.0
55,558797,0,144.0,53.0,2019-10-05,5,0.0
58,422188,0,44.0,18117.0,2019-10-25,18,0.0
65,21628,0,89.0,579.0,2019-10-26,108,0.0
67,112656,0,224.0,272.0,2019-10-26,31,0.0
68,2698,0,1.0,680.0,2019-10-25,682,0.0
75,402426,0,59.0,6539.0,2019-10-11,24,0.0
80,1890207,0,84.0,849.0,2019-10-25,3,0.0
89,352333,0,285.0,779.0,2019-10-06,1,0.0
96,365586,0,24.0,35627.0,2019-10-26,9,0.0
100,2494,0,137.0,416.0,2019-10-27,1287,0.0
103,383882,0,86.0,24403.0,2019-10-26,31,0.0
106,18068,0,179.0,4545.0,2019-10-15,31,0.0
108,124329,0,84.0,637.0,2019-09-27,11,0.0
111,1265842,0,189.0,20790.0,2019-10-27,10,0.0
115,73747,0,220.0,1468.0,2019-10-05,40,0.0
121,112484,0,13.0,667.0,2019-10-27,76,0.0
126,45348,0,85.0,6416.0,2019-10-19,142,0.0
128,23606,0,29.0,294.0,2019-10-26,641,0.0
137,659735,0,23.0,1077.0,2019-10-09,23,0.0
149,1531,0,29.0,2667.0,2019-10-24,119,0.0
150,48401,0,71.0,7104.0,2019-10-27,223,0.0
155,337453,0,20.0,25.0,2019-10-26,46,0.0
156,823938,0,193.0,69.0,2019-10-26,4,0.0
173,514817,0,11.0,29583.0,2019-10-18,4,0.0
178,1676486,0,26.0,62.0,2019-10-24,2,0.0
181,2684578,0,31.0,431.0,2019-10-25,1,0.0
184,36536,0,6.0,375.0,2019-10-26,37,0.0
189,5772463,0,126.0,682.0,2019-10-26,1,0.0
190,31614,0,4.0,230.0,2019-10-23,42,0.0
193,2753103,0,134.0,468.0,2019-10-26,3,0.0
194,4123296,0,41.0,33.0,2019-10-26,1,0.0
195,778442,0,96.0,2266.0,2019-10-26,9,0.0
200,642375,0,213.0,1305.0,2019-10-26,7,0.0
203,1445494,0,198.0,35216.0,2019-10-27,3,0.0
208,915087,0,279.0,1578.0,2019-10-18,5,0.0
212,353428,0,19.0,486.0,2019-10-26,12,0.0
215,18718,0,88.0,238.0,2019-10-25,305,0.0
217,146754,0,76.0,927.0,2019-10-24,28,0.0
219,9985,0,349.0,2215.0,2019-10-26,16,0.0
220,212573,0,264.0,1780.0,2019-10-25,10,0.0
223,2219858,0,9.0,68.0,2019-10-25,6,0.0
224,4414,0,44.0,530.0,2019-10-14,315,0.0
225,133770,0,60.0,22.0,2019-10-27,251,0.0
233,29892,0,202.0,625.0,2019-10-26,181,0.0
234,1019823,0,286.0,62.0,2019-10-22,15,0.0
239,52510,0,84.0,110.0,2019-10-21,128,0.0
241,10241,0,25.0,220.0,2019-10-27,455,0.0
244,1333587,0,113.0,43.0,2019-10-27,1,0.0
247,19285,0,15.0,1589.0,2019-10-26,271,0.0
253,1437383,0,89.0,57.0,2019-10-26,7,0.0
254,348473,0,59.0,1098.0,2019-10-24,1,0.0
257,2526124,0,42.0,1391.0,2019-10-15,4,0.0
261,1499433,0,51.0,32486.0,2019-10-13,2,0.0
262,770005,0,108.0,3894.0,2019-10-25,13,0.0
263,1263766,0,225.0,3935.0,2019-10-27,1,0.0
269,32699,0,169.0,2768.0,2019-10-08,153,0.0
273,35377,0,89.0,468.0,2019-10-26,270,0.0
274,63681,0,158.0,571.0,2019-10-25,30,0.0
276,15324,0,51.0,12698.0,2019-10-25,41,0.0
278,258273,0,10.0,2497.0,2019-10-25,9,0.0
280,889,0,33.0,4734.0,2019-10-05,15,0.0
290,346046,0,344.0,1262.0,2019-10-25,4,0.0
292,18271,0,69.0,1680.0,2019-10-20,404,0.0
295,1113630,0,227.0,22.0,2019-10-25,4,0.0
299,46221,0,76.0,115.0,2019-10-26,14,0.0
300,89396,0,73.0,5894.0,2019-10-08,128,0.0
302,16967,0,238.0,14249.0,2019-10-27,4,0.0
307,236584,0,180.0,8439.0,2019-10-06,42,0.0
310,299,0,170.0,413.0,2019-10-27,380,0.0
314,62066,0,22.0,782.0,2019-10-26,42,0.0
315,396827,0,14.0,6340.0,2019-10-25,5,0.0
317,1052236,0,4.0,3813.0,2019-10-08,6,0.0
319,3460,0,85.0,6186.0,2019-10-26,281,0.0
323,3996,0,3.0,762.0,2019-10-16,192,0.0
326,22791,0,144.0,22.0,2019-10-27,65,0.0
328,3848634,0,286.0,100.0,2019-10-05,2,0.0
330,82580,0,32.0,1325.0,2019-10-18,141,0.0
333,307452,0,59.0,491.0,2019-10-15,14,0.0
335,3846862,0,69.0,8495.0,2019-10-26,1,0.0
339,1818447,0,42.0,7.0,2019-10-12,1,0.0
340,1247,0,101.0,7.0,2019-10-06,29,0.0
342,24672,0,76.0,33.0,2019-10-26,137,0.0
345,4980568,0,5.0,4056.0,2019-10-21,1,0.0
347,31607,0,17.0,317.0,2019-10-25,341,0.0
354,170800,0,162.0,5891.0,2019-10-26,37,0.0
355,76791,0,4.0,162.0,2019-10-27,39,0.0
359,431997,0,191.0,220.0,2019-10-27,2,0.0
362,303385,0,163.0,68.0,2019-10-26,3,0.0
371,345741,0,32.0,1536.0,2019-10-22,15,0.0
374,11577,0,18.0,909.0,2019-10-17,2,0.0
380,1112648,0,151.0,12878.0,2019-10-27,7,0.0
381,448510,0,72.0,14393.0,2019-09-30,11,0.0
383,15915,1,42.0,246.0,2019-10-12,81,6.283380458686774e-05
384,8650,0,22.0,4987.0,2019-10-22,45,0.0
387,2212906,0,122.0,307.0,2019-10-24,2,0.0
390,1194237,0,307.0,4372.0,2019-10-26,5,0.0
394,1879,0,4.0,8251.0,2019-10-19,71,0.0
404,537357,0,20.0,703.0,2019-10-26,2,0.0
405,104963,0,10.0,25.0,2019-10-26,14,0.0
406,354303,0,66.0,2463.0,2019-10-26,15,0.0
415,466128,0,31.0,18601.0,2019-10-13,3,0.0
418,520853,0,84.0,110.0,2019-10-25,9,0.0
420,2994638,0,23.0,15019.0,2019-10-02,1,0.0
429,1111326,0,177.0,10715.0,2019-10-27,3,0.0
432,648089,0,189.0,136.0,2019-10-12,11,0.0
439,93347,0,249.0,1139.0,2019-10-12,106,0.0
442,76979,0,173.0,30622.0,2019-10-01,23,0.0
443,1131683,0,146.0,43673.0,2019-10-26,4,0.0
444,1891532,0,84.0,30.0,2019-10-19,3,0.0
453,53146,0,23.0,420.0,2019-10-26,289,0.0
456,23268,0,44.0,35349.0,2019-10-25,198,0.0
469,698766,0,38.0,9240.0,2019-10-26,4,0.0
475,4221,0,113.0,208.0,2019-10-26,979,0.0
479,500917,0,25.0,380.0,2019-10-26,16,0.0
482,1100,0,157.0,2435.0,2019-10-17,339,0.0
483,1146688,0,90.0,110.0,2019-10-19,2,0.0
484,18085,0,29.0,31629.0,2019-10-26,47,0.0
489,6619,0,18.0,1133.0,2019-10-25,29,0.0
492,176311,0,115.0,4483.0,2019-10-24,7,0.0
497,7530,0,15.0,795.0,2019-10-24,134,0.0
498,22973,0,85.0,3684.0,2019-09-27,19,0.0
499,629529,0,69.0,1769.0,2019-10-19,5,0.0
501,526595,0,30.0,100.0,2019-10-25,32,0.0
503,1199577,0,90.0,255.0,2019-09-30,1,0.0
504,89639,0,182.0,272.0,2019-10-10,5,0.0
506,142920,0,32.0,8978.0,2019-10-26,72,0.0
